iter	TotalF1	MultiClass
341	0.9608181592	0.1468041362
342	0.9609157706	0.1465369137
343	0.9610792538	0.1460820202
344	0.9611722247	0.145709121
345	0.9611884728	0.1456026363
346	0.9611938453	0.1453865625
347	0.9613077411	0.1448107628
348	0.9613161145	0.1446922433
349	0.961390289	0.1443150667
350	0.9615024009	0.1438002415
351	0.9615217128	0.1436941152
352	0.9615269893	0.1436159162
353	0.9615939007	0.1432561141
354	0.9616039819	0.1429977914
355	0.9616567238	0.1427840161
356	0.9617340582	0.1425371592
357	0.9617894328	0.1422552116
358	0.9617941521	0.1420493271
359	0.9617871097	0.1418114234
360	0.9617960061	0.1414560217
361	0.9618007503	0.1413517023
362	0.961809495	0.1410946451
363	0.9618211951	0.1409273116
364	0.9618234775	0.1408096394
365	0.9618292476	0.1406145027
366	0.9619601646	0.1403299692
367	0.9620969316	0.1400495988
368	0.962108553	0.1396923573
369	0.962154781	0.1394426125
370	0.9621415787	0.1392588035
371	0.962153205	0.1391927546
372	0.9622401677	0.1390380806
373	0.962349578	0.138599342
374	0.9623843468	0.1383658308
375	0.9624860614	0.1381500728
376	0.9624960763	0.1380745237
377	0.9625153966	0.1379573672
378	0.962555159	0.1378269151
379	0.9625761756	0.1374959533
380	0.9627346147	0.1372369235
381	0.9627456005	0.1370124208
382	0.9628093948	0.1367634806
383	0.9628958969	0.1365538042
384	0.9629394332	0.1363037623
385	0.9629758421	0.1359467346
386	0.9629875924	0.1357713101
387	0.9630394841	0.1355795621
388	0.9630651753	0.1354693964
389	0.963164711	0.135183718
390	0.9631854449	0.1349645456
391	0.9632420589	0.1347883178
392	0.9632560225	0.1345635426
393	0.9632822506	0.1344229357
394	0.9633075263	0.1343655259
395	0.9633212025	0.1342870313
396	0.9633781184	0.134047096
397	0.9635158384	0.1335854878
398	0.9635295604	0.1334991115
399	0.9636103981	0.1331660587
400	0.9636362318	0.133037282
401	0.9636707425	0.1327224559
402	0.9636654471	0.1325572127
403	0.9637336616	0.1323617741
404	0.963810816	0.1319691007
405	0.9638738891	0.131696282
406	0.963925169	0.1314642142
407	0.9639729458	0.1311433488
408	0.9639747927	0.1309398922
409	0.9640049355	0.1307476011
410	0.9640013599	0.1305749629
411	0.9640601274	0.1303902538
412	0.9640870988	0.1301444039
413	0.964109324	0.1299536732
414	0.9641166997	0.1297935713
415	0.9642083009	0.1297032366
416	0.9642622638	0.1295089187
417	0.9643379559	0.1291591846
418	0.9643480891	0.1290322827
419	0.9643822459	0.1288141351
420	0.9643783066	0.1286458248
421	0.9643775683	0.1285982655
422	0.9644163306	0.1282816254
423	0.9644576151	0.1280549554
424	0.964515689	0.1278506555
425	0.9645282677	0.1277239332
426	0.9645286717	0.1275695482
427	0.9645350597	0.1273832815
428	0.9645894613	0.1272950491
429	0.9646112499	0.1272263096
430	0.9646942125	0.1270409796
431	0.964736417	0.1267996394
432	0.964758984	0.1266423983
433	0.9647712183	0.1264663804
434	0.9648094416	0.1262815539
435	0.9648955981	0.1259673469
436	0.9649084065	0.125855176
437	0.9649661906	0.1256091451
438	0.9649830326	0.1254949064
439	0.9649891804	0.1253406931
440	0.9649931604	0.1251974849
441	0.9650124183	0.1249842577
442	0.9651204189	0.1246368708
443	0.9651227143	0.1245956652
444	0.9651426271	0.124415772
445	0.9652132695	0.1242454735
446	0.9653057466	0.1240493369
447	0.965336659	0.1237909066
448	0.9653605542	0.1235567365
449	0.9653760469	0.1234704992
450	0.9654053647	0.123313716
451	0.9654324116	0.1230634183
452	0.9654697741	0.1229101916
453	0.9655042666	0.1227611781
454	0.9655960634	0.1225402522
455	0.9656224982	0.1223647608
456	0.9657187437	0.1221814396
457	0.9658138304	0.1218663708
458	0.9658875797	0.1216823495
459	0.9659093371	0.1216031766
460	0.9659146599	0.1215354204
461	0.9659179902	0.1214786672
462	0.9659162377	0.1214200213
463	0.9659737879	0.1212746595
464	0.9659810751	0.1211380308
465	0.9660432808	0.1209998888
466	0.9660657353	0.1208210364
467	0.966154978	0.1205504245
468	0.9661970626	0.1204576759
469	0.9661993748	0.1203918322
470	0.9662663239	0.1201366001
471	0.966294853	0.1199885045
472	0.9663290818	0.1198620325
473	0.9663641832	0.1196143481
474	0.9663886212	0.1195296961
475	0.9664333946	0.1192980333
476	0.9664566699	0.1192149076
477	0.9664819733	0.1190338177
478	0.9665486459	0.1188402155
479	0.96658293	0.118674515
480	0.9666812996	0.1183453467
481	0.9667021592	0.1181527296
482	0.9667022421	0.1180893825
483	0.9667361212	0.1179079362
484	0.9668352652	0.1176306543
485	0.9668484285	0.117541595
486	0.9668580503	0.1174699366
487	0.9668714235	0.1173273626
488	0.9668790708	0.1172832776
489	0.966913906	0.1172515668
490	0.9669193182	0.1171949465
491	0.9669202129	0.1170256856
492	0.9669361647	0.1169680401
493	0.9669936568	0.1167053128
494	0.96699292	0.1165600374
495	0.9670255496	0.1164004236
496	0.9670654354	0.1163322758
497	0.9670769251	0.1161960959
498	0.9670803175	0.1160677504
499	0.9671190116	0.1159335256
